id,name,state,abbrev,first_date,last_date,days,hours,hours_2014-01,hours_2014-02,hours_2014-03,hours_2014-04,hours_2014-05,hours_2014-06,hours_2014-07,hours_2014-08,hours_2014-09,hours_2014-10,hours_2014-11,hours_2014-12,hours_2015-01,hours_2015-02,hours_2015-03,hours_2015-04,hours_2015-05,hours_2015-06,hours_2015-07,hours_2015-08,hours_2015-09,hours_2015-10,hours_2015-11,hours_2015-12,hours_2016-01,hours_2016-02,hours_2016-03,hours_2016-04,hours_2016-05,hours_2016-06,hours_2016-07,hours_2016-08,hours_2016-09,hours_2016-10,hours_2016-11,hours_2016-12,hours_2017-01,hours_2017-02,hours_2017-03,hours_2017-04,hours_2017-05,hours_2017-06,hours_2017-07,hours_2017-08,hours_2017-09,hours_2017-10,hours_2017-11,hours_2017-12,hours_2018-01,hours_2018-02,hours_2018-03,hours_2018-04,hours_2018-05,hours_2018-06,hours_2018-07,hours_2018-08,hours_2018-09,hours_2018-10,hours_2018-11,hours_2018-12,hours_2019-01,hours_2019-02,hours_2019-03,hours_2019-04,hours_2019-05,hours_2019-06,hours_2019-07,hours_2019-08,hours_2019-09,hours_2019-10,hours_2019-11,hours_2019-12,hours_2020-01,hours_2020-02,hours_2020-03,hours_2020-04,hours_2020-05,hours_2020-06,hours_2020-07,hours_2020-08,hours_2020-09,hours_2020-10,hours_2020-11,hours_2020-12
17171,Scott,Illinois,IL,2015-06-30,2015-06-30,1.0,0.5756944444444444,,,,,,,,,,,,,,,,,,,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444,0.5756944444444444
40053,Grant,Oklahoma,OK,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21041,Carroll,Kentucky,KY,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55091,Pepin,Wisconsin,WI,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08087,Morgan,Colorado,CO,2019-10-10,2019-10-10,1.0,1.4879166666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4879166666666668,1.4879166666666668,1.4879166666666668,1.4879166666666668,1.4879166666666668,1.4879166666666668,1.4879166666666668,1.4879166666666668,1.4879166666666668,1.4879166666666668,1.4879166666666668,1.4879166666666668,1.4879166666666668,1.4879166666666668
18007,Benton,Indiana,IN,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31095,Jefferson,Nebraska,NE,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37001,Alamance,North Carolina,NC,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13143,Haralson,Georgia,GA,2019-07-01,2019-07-01,1.0,0.1518055555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555,0.1518055555555555
46011,Brookings,South Dakota,SD,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
